postcode,LGA,mean_price 2020 Q1,mean_price 2020 Q2,mean_price 2020 Q3,mean_price 2020 Q4,mean_price 2021 Q1,median_price 2020 Q1,median_price 2020 Q2,median_price 2020 Q3,median_price 2020 Q4,median_price 2021 Q1,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,sales_no 2020 Q1,sales_no 2020 Q2,sales_no 2020 Q3,sales_no 2020 Q4,sales_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1,hhold_count_2016,hhold_count_2021,hhold_count_delta,Births_16_21,Deaths_16_21,  Natural change,  Net Migration (all sources),population_2021,population_2016,pop_delta,Adult,Child,MiddleAge,Senior,Youth,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_TOTAL_FAM_NO,10yBonds% 2020 Q1,10yBonds% 2020 Q2,10yBonds% 2020 Q3,10yBonds% 2020 Q4,10yBonds% 2021 Q1,2yBonds% 2020 Q1,2yBonds% 2020 Q2,2yBonds% 2020 Q3,2yBonds% 2020 Q4,2yBonds% 2021 Q1,Rate 2020 Q1,Rate 2020 Q2,Rate 2020 Q3,Rate 2020 Q4,Rate 2021 Q1,constr_index 2020 Q1,constr_index 2020 Q2,constr_index 2020 Q3,constr_index 2020 Q4,constr_index 2021 Q1
2000,SYDNEY,1541.0,1322.0,1631.0,1379.0,2794.0,1225.0,1000.0,1390.0,1110.0,1371.0,700.0,630.0,600.0,550.0,600.0,1230.0,931.0,1809.0,1705.0,1469.0,105.0,74.0,100.0,155.0,184.0,8615.0,7595.0,8069.0,9140.0,9327.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,9307,5319,3929,3501,3453.0,857.0,354.0,54.0,21.0,8125.0,12861.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2007,SYDNEY,834.0,739.0,658.0,677.0,754.0,745.0,775.0,655.0,651.0,763.0,550.0,560.0,500.0,480.0,455.0,416.0,234.0,387.0,347.0,388.0,20.0,20.0,20.0,20.0,20.0,2116.0,1810.0,1876.0,1979.0,2024.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,2803,1458,718,2410,830.0,215.0,98.0,25.0,4.0,2524.0,3696.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2008,SYDNEY,956.0,1144.0,985.0,1184.0,937.0,750.0,1173.0,890.0,991.0,855.0,595.0,535.0,530.0,490.0,500.0,957.0,471.0,821.0,915.0,987.0,35.0,20.0,36.0,45.0,49.0,4613.0,4286.0,4116.0,4514.0,4228.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,3321,2496,1352,2779,1308.0,243.0,105.0,17.0,7.0,3813.0,5493.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2009,SYDNEY,1277.0,1282.0,1373.0,1661.0,1427.0,986.0,1100.0,1085.0,1075.0,1188.0,700.0,580.0,595.0,550.0,600.0,286.0,426.0,522.0,543.0,471.0,20.0,32.0,56.0,75.0,54.0,2913.0,2793.0,2913.0,3247.0,3333.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,2896,3232,3205,1040,2107.0,635.0,298.0,56.0,8.0,3321.0,6421.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2010,SYDNEY,1357.0,1395.0,1476.0,2267.0,1371.0,1280.0,1325.0,1270.0,1240.0,1201.0,640.0,575.0,550.0,518.0,525.0,915.0,950.0,1240.0,1158.0,1139.0,151.0,125.0,157.0,211.0,218.0,8338.0,8079.0,8182.0,8521.0,8626.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,6385,7429,7142,1303,4253.0,666.0,324.0,70.0,10.0,9605.0,14926.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2011,SYDNEY,1309.0,1264.0,1307.0,1520.0,1159.0,1055.0,1000.0,890.0,990.0,880.0,530.0,470.0,495.0,470.0,490.0,813.0,747.0,1017.0,951.0,976.0,111.0,93.0,133.0,152.0,120.0,7461.0,7244.0,7365.0,7684.0,7738.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,3871,5715,5332,816,2997.0,398.0,166.0,25.0,3.0,7990.0,11587.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2015,SYDNEY,1046.0,1052.0,1119.0,1172.0,1081.0,887.0,988.0,923.0,918.0,925.0,640.0,590.0,570.0,550.0,573.0,296.0,237.0,361.0,337.0,424.0,43.0,36.0,68.0,96.0,125.0,2506.0,2419.0,2476.0,2500.0,2588.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,1831,3261,2443,451,1644.0,453.0,307.0,54.0,9.0,2458.0,4925.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2016,SYDNEY,1112.0,1098.0,1189.0,1126.0,1394.0,1075.0,955.0,1140.0,1000.0,1350.0,590.0,600.0,600.0,560.0,550.0,442.0,265.0,383.0,357.0,492.0,33.0,20.0,66.0,49.0,57.0,3177.0,2943.0,2855.0,2853.0,2912.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,3823,3606,2526,769,1850.0,403.0,253.0,53.0,7.0,4389.0,6950.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2017,SYDNEY,979.0,988.0,834.0,891.0,916.0,950.0,918.0,790.0,854.0,887.0,720.0,620.0,600.0,580.0,600.0,1238.0,1191.0,1760.0,1565.0,1711.0,137.0,72.0,109.0,134.0,146.0,7468.0,7274.0,7602.0,8317.0,8582.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,6108,6200,4036,3719,3804.0,978.0,401.0,73.0,16.0,7693.0,12965.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2018,SYDNEY,1026.0,1010.0,5174.0,1052.0,974.0,878.0,850.0,900.0,880.0,824.0,650.0,600.0,550.0,550.0,570.0,468.0,327.0,580.0,481.0,505.0,80.0,41.0,83.0,114.0,84.0,3203.0,3102.0,3233.0,3454.0,3513.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,5607,4021,1654,1914,2021.0,1016.0,901.0,293.0,75.0,3027.0,7337.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
